,Unnamed: 0,Unnamed: 1,z,y,x,z_corr,y_corr,x_corr,r,theta,phi,phi_bin,theta_bin,d_i,d_o
3997,801,1418456,207,895,254,-305.4970383407348,233.7151776607435,-170.7012918930616,420.82081193533367,2.3832185344479213,2.2016230526022467,30,12,96.031244915392,7.54983443527075
3998,801,1399610,204,909,264,-308.4970383407348,242.8151776607435,-164.2012918930616,425.54870159216046,2.381742800725787,2.165397247586798,30,12,102.88828893513586,14.071247279470288
3999,801,1405843,205,887,240,-307.4970383407348,228.51517766074352,-179.8012918930616,423.2045835952848,2.384144888543618,2.2374515045573258,30,12,98.32090316916336,10.488088481701515
4000,801,1431444,209,932,303,-303.4970383407348,257.7651776607435,-138.8512918930616,421.7025259071189,2.3741586981390284,2.0649020645256897,30,12,101.3755394560246,10.770329614269007
4001,802,1373985,200,900,263,-312.4970383407348,236.9651776607435,-164.8512918930616,425.42078326561546,2.3958141515815563,2.178615246007124,30,13,98.4733466477097,10.677078252031311
4002,802,1354923,197,921,301,-315.4970383407348,250.6151776607435,-140.1512918930616,426.6013749333155,2.403211793201198,2.0806975699125,30,13,98.99494936611666,10.488088481701515
4003,802,1327611,193,898,266,-319.4970383407348,235.6651776607435,-162.9012918930616,429.1308243074589,2.4106138304363323,2.175619141000217,30,13,98.95453501482385,12.083045973594572
4004,802,1280463,186,885,249,-326.4970383407348,227.2151776607435,-173.9512918930616,434.1498646273422,2.4219444277328708,2.224194009263494,30,13,101.20770721639732,15.652475842498529
4005,802,1367683,199,905,273,-313.4970383407348,240.2151776607435,-158.3512918930616,425.51011300696047,2.399056055507266,2.1536160689536827,30,13,97.9897953870708,10.04987562112089
4006,803,1280693,186,898,274,-326.4970383407348,235.6651776607435,-157.7012918930616,432.4443195046984,2.4264560080667548,2.1605335956844005,30,14,98.49365461794989,12.68857754044952
4007,803,1246847,181,873,262,-331.4970383407348,219.4151776607435,-165.5012918930616,430.6088529452763,2.4493762671456354,2.2170333707496,30,14,88.77499647986475,5.0990195135927845
4008,803,1240606,180,909,315,-332.4970383407348,242.8151776607435,-131.0512918930616,432.0739891669237,2.448912564257751,2.0657098587407527,30,14,92.44457799135652,7.071067811865476
4009,803,1233623,179,891,290,-333.4970383407348,231.1151776607435,-147.3012918930616,431.6621022519391,2.453703898294532,2.138227392315483,30,14,89.71621926942753,5.385164807134504
4010,803,1274087,185,906,298,-327.4970383407348,240.8651776607435,-142.1012918930616,430.6542941724503,2.434823496199664,2.1038022177319338,30,14,94.50396817065408,8.366600265340756
4011,804,1206172,175,885,289,-337.4970383407348,227.2151776607435,-147.9512918930616,432.920977339972,2.4647931160639542,2.147979957037684,30,15,87.84645695758026,4.358898943540674
4012,804,1192409,173,876,278,-339.4970383407348,221.3651776607435,-155.1012918930616,433.9552876389451,2.469197142109185,2.18196379342963,30,15,87.41281370600079,4.69041575982343
4013,804,1172123,170,902,319,-342.4970383407348,238.26517766074352,-128.4512918930616,436.5481079410114,2.472778287179912,2.0652407602240865,30,15,90.82951062292474,7.071067811865476
4014,804,1185402,172,863,263,-340.4970383407348,212.9151776607435,-164.8512918930616,434.1048887491699,2.4724694181035742,2.229642695661484,30,15,86.07554821202127,4.123105625617661
4015,804,1143451,166,888,302,-346.4970383407348,229.1651776607435,-139.5012918930616,438.2208195316762,2.482732371810097,2.1176152385296194,30,15,89.29165694509202,6.708203932499369
4016,805,1082891,158,873,297,-354.4970383407348,219.4151776607435,-142.7512918930616,440.6689252912963,2.505548839387449,2.1475925112717955,30,16,85.00588214941364,4.123105625617661
4017,805,1090401,159,864,284,-353.4970383407348,213.5651776607435,-151.2012918930616,439.8091312092857,2.5043695636233183,2.186862362690447,30,16,83.8868285251028,3.4641016151377544
4018,805,1026254,150,872,303,-362.4970383407348,218.76517766074352,-138.8512918930616,445.5805056587564,2.521008353742756,2.136343902326374,30,16,86.37129152675674,6.4031242374328485
4019,805,1090297,159,853,273,-353.4970383407348,206.4151776607435,-158.3512918930616,438.9105983324951,2.507140340569082,2.2251830483468407,30,16,81.52300288875527,1.7320508075688772
4020,805,1113337,162,883,304,-350.4970383407348,225.9151776607435,-138.2012918930616,439.3010795161139,2.4945192610200837,2.119803299079122,30,16,87.0,5.196152422706632
4021,806,958466,141,879,331,-371.4970383407348,223.3151776607435,-120.6512918930616,449.9293859096687,2.542200254343308,2.0661413856567465,30,17,85.83705493549974,6.708203932499369
4022,806,910234,134,874,312,-378.4970383407348,220.0651776607435,-133.0012918930616,457.5784458393835,2.544856457961452,2.1144245341076897,30,17,93.57350052231668,15.066519173319364
4023,806,1025964,150,850,279,-362.4970383407348,204.4651776607435,-154.4512918930616,443.9203906660284,2.526259497429604,2.217739183149792,30,17,81.8413098624405,3.4641016151377544
4024,806,951048,140,872,321,-372.4970383407348,218.76517766074352,-127.1512918930616,450.3106678279231,2.5449027654709435,2.097294571471972,30,17,85.11756575466664,6.4031242374328485
4025,806,943970,139,865,308,-373.4970383407348,214.2151776607435,-135.6012918930616,451.4154299008747,2.5452424499734243,2.135138057897779,30,17,85.89528508596965,7.681145747868608
4026,807,847441,125,837,303,-387.4970383407348,196.01517766074352,-138.8512918930616,455.91181807076015,2.5866650165434644,2.187117749571134,30,18,78.03204469959762,3.3166247903554
4027,807,840133,124,848,304,-388.4970383407348,203.1651776607435,-138.2012918930616,459.6799270082989,2.577636143210513,2.168137791862216,30,18,85.34049449118513,9.69535971483266
4028,807,862206,127,853,301,-385.4970383407348,206.4151776607435,-140.1512918930616,459.19230912275566,2.567179113155196,2.1672735607810862,30,18,88.05679985100527,11.74734012447073
4029,807,903479,133,866,337,-379.4970383407348,214.8651776607435,-116.7512918930616,451.4597555034899,2.5691861808272143,2.0685350813834065,30,18,79.37883848986453,2.23606797749979
4030,807,916500,135,845,286,-377.4970383407348,201.2151776607435,-149.9012918930616,453.2791181912968,2.554967638552092,2.211076914711484,30,18,84.29709366283039,7.54983443527075
4031,808,786721,117,830,310,-395.4970383407348,191.4651776607435,-134.3012918930616,459.4710639388492,2.6075688641358963,2.1824879323087143,30,19,75.85512507405153,2.449489742783178
